"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 09 14:47:58 CEST 2022","Sun Oct 09 14:48:00 CEST 2022","1532","Chromium","","Open Homepage","","","Categories list: Featured",""
"passed","Sun Oct 09 14:48:07 CEST 2022","Sun Oct 09 14:48:09 CEST 2022","1415","Chromium","","Open Homepage","","","Categories list: Jeans",""
"passed","Sun Oct 09 14:47:54 CEST 2022","Sun Oct 09 14:47:55 CEST 2022","1205","Chromium","","Open Homepage","","","Categories nav button",""
"passed","Sun Oct 09 14:48:01 CEST 2022","Sun Oct 09 14:48:03 CEST 2022","1558","Chromium","","Open Homepage","","","Categories list: Scarfs",""
"passed","Sun Oct 09 14:47:50 CEST 2022","Sun Oct 09 14:47:53 CEST 2022","2993","Chromium","","Open Homepage","","","Shop nav button",""
"failed","Sun Oct 09 14:48:12 CEST 2022","Sun Oct 09 14:48:14 CEST 2022","1685","Chromium","","Open Homepage","","","Contact nav button",""
"passed","Sun Oct 09 14:48:06 CEST 2022","Sun Oct 09 14:48:07 CEST 2022","1450","Chromium","","Open Homepage","","","Categories list: Blouse",""
"passed","Sun Oct 09 14:48:04 CEST 2022","Sun Oct 09 14:48:06 CEST 2022","1525","Chromium","","Open Homepage","","","Categories list: Tops",""
"passed","Sun Oct 09 14:48:03 CEST 2022","Sun Oct 09 14:48:04 CEST 2022","1333","Chromium","","Open Homepage","","","Categories list: Shoes",""
"passed","Sun Oct 09 14:47:53 CEST 2022","Sun Oct 09 14:47:54 CEST 2022","1489","Chromium","","Open Homepage","","","Most Wanted nav button",""
"passed","Sun Oct 09 14:48:00 CEST 2022","Sun Oct 09 14:48:01 CEST 2022","1365","Chromium","","Open Homepage","","","Categories list: Trends",""
"passed","Sun Oct 09 14:48:09 CEST 2022","Sun Oct 09 14:48:10 CEST 2022","1372","Chromium","","Open Homepage","","","Categories list: Dresses",""
"failed","Sun Oct 09 14:48:14 CEST 2022","Sun Oct 09 14:48:16 CEST 2022","1741","Chromium","","Open Homepage","","","Blog Us nav button",""
"passed","Sun Oct 09 14:47:55 CEST 2022","Sun Oct 09 14:47:57 CEST 2022","1435","Chromium","","Open Homepage","","","Categories list: All",""
"failed","Sun Oct 09 14:48:10 CEST 2022","Sun Oct 09 14:48:11 CEST 2022","1344","Chromium","","Open Homepage","","","About Us nav button",""
"passed","Sun Oct 09 14:47:57 CEST 2022","Sun Oct 09 14:47:58 CEST 2022","1609","Chromium","","Open Homepage","","","Categories list: Shirts",""
